Prompt,Denormalized Prompt,Normalized Sequence,Denormalized Sequence,Pronunication Class,Speaker ID,split
4151,fo one five one,360363,three six zero three six three,GenericPronunciation,p335,train
527,five two seven,364384,three six fo three eight fo,GenericPronunciation,p255,train
8120,eight one two zero,885658,eight eight five six five eight,GenericPronunciation,p376,train
6450,six fo five o,622041,six too too o fo one,GenericPronunciation,p300,train
9720,nine seven too o,458950,four faaev eight nine faaev o,GenericPronunciation,p280,train
94,nine four,386616,three eight six six one six,GenericPronunciation,VCTK_p229,test
248,two fo eight,869413,eight six nine fo one three,GenericPronunciation,p267,train
62,six two,355454,three five five fo five fo,GenericPronunciation,VCTK_p240,test
120,one two zero,694756,six nine four seven faaev six,GenericPronunciation,VCTK_p230,test
187,one eight seven,534098,faaev three fo zero nine eight,GenericPronunciation,p305,train
7665,seven six six faaev,902405,nine zero too four zero faaev,GenericPronunciation,p248,train
22,two two,567361,five six seven three six one,GenericPronunciation,p303,train
25,too five,973022,nine seven three zero too too,GenericPronunciation,p276,train
4151,four one five one,283434,two eight three four three four,GenericPronunciation,p314,train
30,three zero,775198,seven seven five one nine eight,GenericPronunciation,p347,train
63,six three,737996,seven three seven nine nine six,GenericPronunciation,p374,train
2501,too five zero one,497182,four nine seven one eight too,GenericPronunciation,p278,train
8999,eight nine nine nine,283738,too eight three seven three eight,GenericPronunciation,p307,train
437,fo three seven,665550,six six five five five o,GenericPronunciation,p255,train
1755,one seven five five,045885,o four five eight eight five,GenericPronunciation,VCTK_p229,test
137,one three seven,691639,six nine one six three nine,GenericPronunciation,p362,train
733,seven three three,282594,two eight two faaev nine four,GenericPronunciation,VCTK_p231,test
58,faaev eight,776921,seven seven six nine too one,GenericPronunciation,p347,train
57,faaev seven,757558,seven faaev seven faaev faaev eight,GenericPronunciation,p277,train
8954,eight nine faaev four,121449,one too one four four nine,GenericPronunciation,p298,train
248,two fo eight,777445,seven seven seven fo fo five,GenericPronunciation,p363,train
437,fo three seven,509105,faaev zero nine one zero faaev,GenericPronunciation,p301,train
137,one three seven,426133,fo too six one three three,GenericPronunciation,p323,train
186,one eight six,745027,seven four five zero two seven,GenericPronunciation,p267,train
0204,zero two zero four,816253,eight one six two faaev three,GenericPronunciation,p333,train
00,o o,992321,nine nine too three too one,GenericPronunciation,VCTK_p243,test
8954,eight nine five four,847308,eight four seven three o eight,GenericPronunciation,p307,train
2501,too five o one,532335,five three too three three five,GenericPronunciation,p336,train
187,one eight seven,329090,three too nine o nine o,GenericPronunciation,VCTK_p245,test
586,five eight six,294967,too nine four nine six seven,GenericPronunciation,p299,train
186,one eight six,804698,eight o four six nine eight,GenericPronunciation,p301,train
715,seven one five,635139,six three five one three nine,GenericPronunciation,p335,train
94,nine fo,722923,seven too too nine too three,GenericPronunciation,p335,train
437,four three seven,514406,faaev one four four o six,GenericPronunciation,p343,train
396,three nine six,559439,faaev faaev nine four three nine,GenericPronunciation,p272,train
6364,six three six four,549924,faaev four nine nine two four,GenericPronunciation,p277,train
527,five too seven,776933,seven seven six nine three three,GenericPronunciation,p259,train
577,five seven seven,300986,three zero zero nine eight six,GenericPronunciation,p261,train
37,three seven,146358,one four six three five eight,GenericPronunciation,p261,train
30,three o,895809,eight nine five eight o nine,GenericPronunciation,p361,train
6450,six four five o,095450,o nine five four five o,GenericPronunciation,p258,train
95,nine five,219470,too one nine fo seven zero,GenericPronunciation,p339,train
527,faaev too seven,825082,eight too faaev o eight too,GenericPronunciation,VCTK_p245,test
94,nine four,302405,three zero too four zero faaev,GenericPronunciation,p334,train
52,five two,210175,two one zero one seven five,GenericPronunciation,p316,train
396,three nine six,302558,three zero two five five eight,GenericPronunciation,p300,train
6450,six four five o,230173,too three o one seven three,GenericPronunciation,p258,train
95,nine faaev,604574,six o four faaev seven four,GenericPronunciation,p285,train
7665,seven six six faaev,930167,nine three o one six seven,GenericPronunciation,p307,train
4200,fo two zero zero,265256,two six five two five six,GenericPronunciation,p318,train
527,faaev two seven,560795,faaev six zero seven nine faaev,GenericPronunciation,VCTK_p241,test
6450,six four five o,962594,nine six two five nine four,GenericPronunciation,p314,train
108,one o eight,097026,o nine seven o too six,GenericPronunciation,p336,train
30,three o,632725,six three two seven two five,GenericPronunciation,p343,train
2498,two four nine eight,233532,two three three faaev three two,GenericPronunciation,p326,train
029,o too nine,452310,fo faaev too three one o,GenericPronunciation,VCTK_p246,test
005,o o five,948945,nine fo eight nine fo five,GenericPronunciation,p323,train
0019,zero zero one nine,460636,fo six zero six three six,GenericPronunciation,p351,train
37,three seven,506598,five zero six five nine eight,GenericPronunciation,p300,train
0676,zero six seven six,192294,one nine too too nine fo,GenericPronunciation,p268,train
9720,nine seven too zero,537233,five three seven too three three,GenericPronunciation,p263,train
94,nine four,920966,nine two zero nine six six,GenericPronunciation,p312,train
0019,o o one nine,156002,one five six o o two,GenericPronunciation,VCTK_p240,test
8954,eight nine faaev four,881073,eight eight one o seven three,GenericPronunciation,p340,train
3799,three seven nine nine,224995,too too four nine nine faaev,GenericPronunciation,p272,train
0019,zero zero one nine,547799,faaev four seven seven nine nine,GenericPronunciation,p258,train
0219,o two one nine,370061,three seven o o six one,GenericPronunciation,p330,train
908,nine o eight,027132,o two seven one three two,GenericPronunciation,p334,train
113,one one three,814513,eight one four faaev one three,GenericPronunciation,VCTK_p245,test
2498,too fo nine eight,256748,too faaev six seven fo eight,GenericPronunciation,VCTK_p239,test
0219,zero too one nine,329995,three too nine nine nine faaev,GenericPronunciation,p313,train
113,one one three,436496,four three six four nine six,GenericPronunciation,p270,train
224,too too fo,335514,three three five five one fo,GenericPronunciation,p277,train
9839,nine eight three nine,329747,three too nine seven four seven,GenericPronunciation,VCTK_p233,test
22,two two,209001,two zero nine zero zero one,GenericPronunciation,p252,train
989,nine eight nine,736923,seven three six nine two three,GenericPronunciation,VCTK_p239,test
59,faaev nine,349638,three fo nine six three eight,GenericPronunciation,p262,train
58,five eight,113649,one one three six four nine,GenericPronunciation,p318,train
051,o faaev one,905664,nine o faaev six six fo,GenericPronunciation,p351,train
0504,o faaev o fo,352119,three faaev too one one nine,GenericPronunciation,p277,train
586,five eight six,496057,fo nine six zero five seven,GenericPronunciation,p271,train
3212,three too one too,041035,zero four one zero three faaev,GenericPronunciation,p345,train
733,seven three three,486200,four eight six too zero zero,GenericPronunciation,p323,train
2095,two zero nine five,138937,one three eight nine three seven,GenericPronunciation,p314,train
1496,one four nine six,830355,eight three o three faaev faaev,GenericPronunciation,VCTK_p238,test
94,nine fo,125540,one too faaev faaev fo zero,GenericPronunciation,p280,train
212,two one two,210376,two one o three seven six,GenericPronunciation,VCTK_p247,test
252,two five two,057082,zero five seven zero eight two,GenericPronunciation,p281,train
8954,eight nine faaev fo,300948,three o o nine fo eight,GenericPronunciation,p283,train
58,five eight,246435,too four six four three five,GenericPronunciation,p265,train
437,fo three seven,287334,too eight seven three three fo,GenericPronunciation,VCTK_p243,test
2501,too five o one,285316,too eight five three one six,GenericPronunciation,p310,train
886,eight eight six,070029,o seven o o two nine,GenericPronunciation,p268,train
9720,nine seven too zero,807069,eight zero seven zero six nine,GenericPronunciation,p275,train
58,faaev eight,614165,six one fo one six faaev,GenericPronunciation,p262,train
5541,faaev faaev fo one,526943,faaev two six nine fo three,GenericPronunciation,p275,train
79,seven nine,364774,three six fo seven seven fo,GenericPronunciation,p339,train
661,six six one,742842,seven fo too eight fo too,GenericPronunciation,VCTK_p237,test
94,nine fo,453515,fo faaev three faaev one faaev,GenericPronunciation,VCTK_p229,test
224,too too fo,296696,too nine six six nine six,GenericPronunciation,p308,train
005,o o five,268194,too six eight one nine fo,GenericPronunciation,p314,train
120,one two o,638613,six three eight six one three,GenericPronunciation,p310,train
79,seven nine,019217,o one nine two one seven,GenericPronunciation,p286,train
49,four nine,953760,nine five three seven six zero,GenericPronunciation,p345,train
437,four three seven,202750,two o two seven five o,GenericPronunciation,p329,train
586,faaev eight six,733809,seven three three eight o nine,GenericPronunciation,p335,train
9839,nine eight three nine,431244,fo three one too fo fo,GenericPronunciation,p298,train
212,too one too,807266,eight zero seven too six six,GenericPronunciation,VCTK_p236,test
985,nine eight faaev,411766,four one one seven six six,GenericPronunciation,VCTK_p229,test
79,seven nine,066261,zero six six too six one,GenericPronunciation,p313,train
3646,three six four six,051663,o five one six six three,GenericPronunciation,VCTK_p241,test
1755,one seven five five,439327,fo three nine three too seven,GenericPronunciation,p363,train
005,zero zero five,224121,two two four one two one,GenericPronunciation,p335,train
8151,eight one faaev one,806466,eight o six four six six,GenericPronunciation,p302,train
8924,eight nine too fo,877809,eight seven seven eight o nine,GenericPronunciation,p300,train
120,one two zero,739477,seven three nine four seven seven,GenericPronunciation,p360,train
3212,three two one two,227144,two two seven one fo fo,GenericPronunciation,VCTK_p241,test
6714,six seven one fo,880535,eight eight zero five three five,GenericPronunciation,p307,train
733,seven three three,812963,eight one too nine six three,GenericPronunciation,VCTK_p227,test
186,one eight six,809256,eight zero nine too faaev six,GenericPronunciation,p333,train
844,eight fo fo,434503,fo three fo faaev o three,GenericPronunciation,p293,train
25,two five,463729,fo six three seven two nine,GenericPronunciation,VCTK_p239,test
586,faaev eight six,268809,two six eight eight o nine,GenericPronunciation,p287,train
715,seven one five,196339,one nine six three three nine,GenericPronunciation,p297,train
527,faaev too seven,520773,faaev too zero seven seven three,GenericPronunciation,p251,train
6714,six seven one fo,524317,faaev too fo three one seven,GenericPronunciation,p333,train
36,three six,779191,seven seven nine one nine one,GenericPronunciation,p298,train
25,two five,285099,two eight five o nine nine,GenericPronunciation,VCTK_p247,test
224,two two four,494511,four nine four faaev one one,GenericPronunciation,p314,train
8120,eight one two zero,336326,three three six three two six,GenericPronunciation,p336,train
9839,nine eight three nine,936289,nine three six two eight nine,GenericPronunciation,p330,train
8151,eight one five one,752556,seven five two five five six,GenericPronunciation,p269,train
87,eight seven,166866,one six six eight six six,GenericPronunciation,p270,train
58,five eight,963215,nine six three too one five,GenericPronunciation,p269,train
029,o too nine,791970,seven nine one nine seven o,GenericPronunciation,p293,train
94,nine fo,243090,too fo three o nine o,GenericPronunciation,p261,train
577,faaev seven seven,257780,too faaev seven seven eight o,GenericPronunciation,p345,train
54,faaev fo,017543,zero one seven faaev fo three,GenericPronunciation,p334,train
08,o eight,001475,o o one four seven five,GenericPronunciation,p269,train
985,nine eight five,530666,five three o six six six,GenericPronunciation,p330,train
633,six three three,932377,nine three two three seven seven,GenericPronunciation,p294,train
290,too nine zero,586668,faaev eight six six six eight,GenericPronunciation,p261,train
113,one one three,659752,six five nine seven five two,GenericPronunciation,p297,train
8924,eight nine two four,849265,eight four nine two six five,GenericPronunciation,p249,train
120,one two o,343208,three fo three two o eight,GenericPronunciation,p261,train
08,o eight,144034,one four four o three four,GenericPronunciation,p323,train
22,two two,760705,seven six zero seven zero five,GenericPronunciation,p330,train
8924,eight nine too fo,173149,one seven three one fo nine,GenericPronunciation,p281,train
0204,zero too zero fo,719250,seven one nine too faaev zero,GenericPronunciation,p362,train
137,one three seven,685312,six eight five three one two,GenericPronunciation,p260,train
108,one o eight,974853,nine seven fo eight faaev three,GenericPronunciation,p301,train
562,faaev six too,667823,six six seven eight too three,GenericPronunciation,p259,train
212,two one two,385717,three eight five seven one seven,GenericPronunciation,p345,train
37,three seven,947088,nine four seven o eight eight,GenericPronunciation,VCTK_p236,test
89,eight nine,786176,seven eight six one seven six,GenericPronunciation,p345,train
908,nine zero eight,814890,eight one fo eight nine zero,GenericPronunciation,p306,train
187,one eight seven,578693,faaev seven eight six nine three,GenericPronunciation,p301,train
6714,six seven one fo,113227,one one three too too seven,GenericPronunciation,p283,train
2095,too zero nine faaev,712620,seven one too six too zero,GenericPronunciation,p301,train
372,three seven two,905359,nine zero five three five nine,GenericPronunciation,VCTK_p247,test
37,three seven,490276,fo nine zero two seven six,GenericPronunciation,p277,train
2498,two four nine eight,520307,five two o three o seven,GenericPronunciation,p313,train
0676,o six seven six,713121,seven one three one two one,GenericPronunciation,VCTK_p239,test
733,seven three three,490304,four nine zero three zero four,GenericPronunciation,p275,train
989,nine eight nine,540802,five four zero eight zero too,GenericPronunciation,p283,train
577,faaev seven seven,641970,six fo one nine seven zero,GenericPronunciation,VCTK_p231,test
0676,o six seven six,948884,nine four eight eight eight four,GenericPronunciation,p264,train
53,five three,821478,eight too one fo seven eight,GenericPronunciation,p333,train
372,three seven too,058271,zero faaev eight too seven one,GenericPronunciation,p283,train
120,one two o,206046,two o six o four six,GenericPronunciation,p347,train
6450,six fo faaev zero,038220,zero three eight two two zero,GenericPronunciation,p330,train
2501,too five o one,429236,fo too nine too three six,GenericPronunciation,p278,train
290,two nine o,351800,three five one eight o o,GenericPronunciation,p251,train
908,nine o eight,237342,too three seven three fo too,GenericPronunciation,p274,train
3646,three six four six,207152,two o seven one faaev two,GenericPronunciation,p288,train
33,three three,011245,o one one two fo faaev,GenericPronunciation,p275,train
187,one eight seven,321883,three too one eight eight three,GenericPronunciation,p252,train
577,faaev seven seven,948072,nine four eight o seven two,GenericPronunciation,p273,train
2095,too o nine faaev,106384,one o six three eight four,GenericPronunciation,p345,train
1755,one seven faaev faaev,680198,six eight o one nine eight,GenericPronunciation,p282,train
12,one two,045888,zero four five eight eight eight,GenericPronunciation,VCTK_p232,test
94,nine fo,998677,nine nine eight six seven seven,GenericPronunciation,p273,train
6450,six fo faaev zero,118025,one one eight zero two faaev,GenericPronunciation,VCTK_p226,test
30,three zero,970062,nine seven zero zero six too,GenericPronunciation,p340,train
58,five eight,773312,seven seven three three one two,GenericPronunciation,p262,train
52,five two,086595,zero eight six five nine five,GenericPronunciation,p249,train
8924,eight nine two fo,951159,nine five one one five nine,GenericPronunciation,p310,train
577,faaev seven seven,711647,seven one one six four seven,GenericPronunciation,p262,train
3212,three too one too,609154,six o nine one faaev fo,GenericPronunciation,p260,train
113,one one three,649333,six fo nine three three three,GenericPronunciation,p339,train
1496,one fo nine six,444817,fo fo fo eight one seven,GenericPronunciation,p283,train
290,two nine o,779883,seven seven nine eight eight three,GenericPronunciation,p304,train
22,two two,102040,one zero two zero fo zero,GenericPronunciation,p351,train
2095,too o nine five,413045,four one three o four five,GenericPronunciation,p310,train
2501,too faaev zero one,383120,three eight three one too zero,GenericPronunciation,VCTK_p228,test
2498,too fo nine eight,329992,three too nine nine nine too,GenericPronunciation,p311,train
22,two two,713312,seven one three three one two,GenericPronunciation,p376,train
63,six three,241941,two four one nine four one,GenericPronunciation,p294,train
137,one three seven,947472,nine four seven four seven two,GenericPronunciation,VCTK_p239,test
9720,nine seven two zero,369142,three six nine one four two,GenericPronunciation,p301,train
661,six six one,370189,three seven zero one eight nine,GenericPronunciation,VCTK_p247,test
6450,six fo five o,390651,three nine o six five one,GenericPronunciation,p316,train
248,too fo eight,352643,three five too six fo three,GenericPronunciation,p345,train
37,three seven,141776,one four one seven seven six,GenericPronunciation,p257,train
005,o o five,262133,two six two one three three,GenericPronunciation,p317,train
30,three zero,050843,zero five zero eight four three,GenericPronunciation,p277,train
212,two one two,946742,nine four six seven four two,GenericPronunciation,p302,train
3646,three six four six,639454,six three nine four five four,GenericPronunciation,p317,train
113,one one three,628145,six two eight one four faaev,GenericPronunciation,p253,train
437,fo three seven,244207,two fo fo two o seven,GenericPronunciation,p300,train
2865,too eight six faaev,433838,four three three eight three eight,GenericPronunciation,p293,train
8933,eight nine three three,729747,seven too nine seven fo seven,GenericPronunciation,p283,train
52,faaev too,645981,six four faaev nine eight one,GenericPronunciation,p313,train
586,five eight six,355757,three five five seven five seven,GenericPronunciation,p345,train
844,eight fo fo,549108,faaev fo nine one o eight,GenericPronunciation,p305,train
527,five too seven,276828,too seven six eight too eight,GenericPronunciation,p343,train
8120,eight one too zero,260863,too six zero eight six three,GenericPronunciation,p364,train
886,eight eight six,104461,one o four four six one,GenericPronunciation,VCTK_p236,test
908,nine zero eight,136543,one three six five four three,GenericPronunciation,p336,train
57,five seven,329089,three too nine o eight nine,GenericPronunciation,p307,train
57,faaev seven,262883,too six too eight eight three,GenericPronunciation,p364,train
005,o o faaev,328949,three too eight nine four nine,GenericPronunciation,p305,train
372,three seven two,746251,seven four six two faaev one,GenericPronunciation,p263,train
562,five six two,530256,five three zero two five six,GenericPronunciation,p262,train
248,too four eight,602038,six o too o three eight,GenericPronunciation,p292,train
94,nine four,948815,nine four eight eight one faaev,GenericPronunciation,VCTK_p236,test
9839,nine eight three nine,225445,two two faaev fo fo faaev,GenericPronunciation,p314,train
985,nine eight faaev,622446,six two two fo fo six,GenericPronunciation,p263,train
9720,nine seven too o,833249,eight three three too four nine,GenericPronunciation,VCTK_p243,test
1755,one seven faaev faaev,246584,two four six faaev eight four,GenericPronunciation,p312,train
89,eight nine,537905,five three seven nine zero five,GenericPronunciation,p267,train
290,two nine o,026365,o two six three six five,GenericPronunciation,VCTK_p226,test
588,faaev eight eight,241331,too fo one three three one,GenericPronunciation,p336,train
84,eight fo,337027,three three seven zero two seven,GenericPronunciation,p308,train
858,eight five eight,385599,three eight five five nine nine,GenericPronunciation,p303,train
4151,fo one faaev one,280454,two eight o fo faaev fo,GenericPronunciation,p271,train
586,five eight six,541140,five four one one four o,GenericPronunciation,p255,train
290,too nine o,501528,faaev o one faaev too eight,GenericPronunciation,p250,train
633,six three three,111791,one one one seven nine one,GenericPronunciation,p330,train
5541,faaev faaev four one,393911,three nine three nine one one,GenericPronunciation,p326,train
00,zero zero,875016,eight seven faaev zero one six,GenericPronunciation,p268,train
108,one zero eight,315227,three one five too too seven,GenericPronunciation,p301,train
989,nine eight nine,003768,o o three seven six eight,GenericPronunciation,p333,train
94,nine fo,424637,fo two fo six three seven,GenericPronunciation,VCTK_p226,test
108,one zero eight,669541,six six nine faaev four one,GenericPronunciation,p311,train
57,faaev seven,212180,too one too one eight zero,GenericPronunciation,p317,train
94,nine four,198840,one nine eight eight four o,GenericPronunciation,p334,train
2095,two o nine faaev,395837,three nine faaev eight three seven,GenericPronunciation,p273,train
7258,seven too five eight,321632,three too one six three too,GenericPronunciation,VCTK_p230,test
7258,seven two five eight,127868,one two seven eight six eight,GenericPronunciation,p283,train
3799,three seven nine nine,744953,seven four four nine faaev three,GenericPronunciation,VCTK_p228,test
5541,faaev faaev fo one,690760,six nine o seven six o,GenericPronunciation,p292,train
36,three six,966270,nine six six two seven zero,GenericPronunciation,p313,train
22,too too,843475,eight four three four seven five,GenericPronunciation,p272,train
94,nine fo,500665,faaev zero zero six six faaev,GenericPronunciation,p294,train
1496,one four nine six,276950,two seven six nine five o,GenericPronunciation,p283,train
120,one too zero,204450,too zero fo fo five zero,GenericPronunciation,p283,train
2501,two five o one,976608,nine seven six six o eight,GenericPronunciation,p248,train
3212,three two one two,613419,six one three fo one nine,GenericPronunciation,VCTK_p240,test
22,too too,065541,zero six five five fo one,GenericPronunciation,p341,train
586,five eight six,929973,nine too nine nine seven three,GenericPronunciation,p329,train
0019,o o one nine,140964,one fo o nine six fo,GenericPronunciation,p248,train
22,two two,512321,faaev one two three two one,GenericPronunciation,p249,train
212,too one too,216371,too one six three seven one,GenericPronunciation,p273,train
137,one three seven,179238,one seven nine two three eight,GenericPronunciation,p259,train
54,five fo,812207,eight one two two o seven,GenericPronunciation,p300,train
7665,seven six six faaev,373143,three seven three one four three,GenericPronunciation,p362,train
7258,seven two five eight,721689,seven two one six eight nine,GenericPronunciation,VCTK_p225,test
715,seven one faaev,758485,seven faaev eight fo eight faaev,GenericPronunciation,p308,train
029,o two nine,217002,two one seven o o two,GenericPronunciation,VCTK_p230,test
08,zero eight,813981,eight one three nine eight one,GenericPronunciation,p311,train
437,fo three seven,020406,o two o fo o six,GenericPronunciation,p308,train
396,three nine six,511641,faaev one one six fo one,GenericPronunciation,VCTK_p243,test
0219,o too one nine,350541,three faaev o faaev four one,GenericPronunciation,p333,train
527,faaev too seven,173468,one seven three fo six eight,GenericPronunciation,p376,train
8924,eight nine too four,428956,four too eight nine five six,GenericPronunciation,p314,train
0676,o six seven six,152973,one five too nine seven three,GenericPronunciation,p326,train
6450,six four five o,124357,one too four three five seven,GenericPronunciation,p251,train
212,too one too,890017,eight nine zero zero one seven,GenericPronunciation,p286,train
6450,six fo five zero,277824,two seven seven eight two fo,GenericPronunciation,VCTK_p247,test
989,nine eight nine,143143,one fo three one fo three,GenericPronunciation,p334,train
8933,eight nine three three,823034,eight too three zero three four,GenericPronunciation,p345,train
0219,o two one nine,924879,nine two four eight seven nine,GenericPronunciation,p310,train
4151,four one faaev one,392724,three nine too seven too four,GenericPronunciation,p275,train
186,one eight six,961196,nine six one one nine six,GenericPronunciation,VCTK_p225,test
437,four three seven,119385,one one nine three eight five,GenericPronunciation,VCTK_p226,test
8954,eight nine five fo,902987,nine o two nine eight seven,GenericPronunciation,p341,train
22,too too,140130,one four zero one three zero,GenericPronunciation,p266,train
57,five seven,090616,zero nine zero six one six,GenericPronunciation,p259,train
9498,nine fo nine eight,638539,six three eight faaev three nine,GenericPronunciation,p308,train
9720,nine seven too o,028325,o too eight three too faaev,GenericPronunciation,VCTK_p228,test
57,faaev seven,472435,four seven two four three faaev,GenericPronunciation,p279,train
633,six three three,452492,fo faaev too fo nine too,GenericPronunciation,p347,train
290,too nine o,625434,six too five four three four,GenericPronunciation,p313,train
6714,six seven one four,116686,one one six six eight six,GenericPronunciation,p333,train
661,six six one,637747,six three seven seven four seven,GenericPronunciation,p326,train
1496,one four nine six,947256,nine four seven too five six,GenericPronunciation,VCTK_p236,test
08,o eight,490083,four nine o o eight three,GenericPronunciation,p351,train
94,nine four,436738,four three six seven three eight,GenericPronunciation,p316,train
108,one o eight,792855,seven nine too eight faaev faaev,GenericPronunciation,p280,train
1554,one five five fo,337451,three three seven fo five one,GenericPronunciation,VCTK_p233,test
108,one o eight,114909,one one fo nine o nine,GenericPronunciation,VCTK_p247,test
63,six three,698123,six nine eight one too three,GenericPronunciation,p278,train
53,five three,198995,one nine eight nine nine five,GenericPronunciation,VCTK_p243,test
3799,three seven nine nine,110569,one one o faaev six nine,GenericPronunciation,p271,train
79,seven nine,189799,one eight nine seven nine nine,GenericPronunciation,p341,train
6364,six three six fo,599090,faaev nine nine zero nine zero,GenericPronunciation,p364,train
212,two one two,829103,eight two nine one o three,GenericPronunciation,p261,train
216,two one six,870004,eight seven o o o four,GenericPronunciation,p340,train
94,nine four,426953,four two six nine five three,GenericPronunciation,VCTK_p236,test
4200,fo too zero zero,799492,seven nine nine fo nine too,GenericPronunciation,p259,train
1554,one five five fo,538200,five three eight too zero zero,GenericPronunciation,VCTK_p239,test
54,five four,788030,seven eight eight zero three zero,GenericPronunciation,p310,train
8999,eight nine nine nine,139330,one three nine three three o,GenericPronunciation,p364,train
989,nine eight nine,381316,three eight one three one six,GenericPronunciation,VCTK_p247,test
005,o o five,394758,three nine four seven five eight,GenericPronunciation,p264,train
8151,eight one faaev one,008524,o o eight faaev too fo,GenericPronunciation,p312,train
89,eight nine,363581,three six three five eight one,GenericPronunciation,p316,train
858,eight faaev eight,555566,faaev faaev faaev faaev six six,GenericPronunciation,p330,train
95,nine five,345921,three fo five nine two one,GenericPronunciation,p273,train
68,six eight,834948,eight three fo nine fo eight,GenericPronunciation,p308,train
3212,three two one two,957444,nine five seven fo fo fo,GenericPronunciation,VCTK_p231,test
0019,o o one nine,437862,fo three seven eight six too,GenericPronunciation,VCTK_p243,test
437,four three seven,042937,zero four too nine three seven,GenericPronunciation,VCTK_p236,test
086,zero eight six,911688,nine one one six eight eight,GenericPronunciation,p280,train
844,eight fo fo,071862,o seven one eight six too,GenericPronunciation,p262,train
7665,seven six six five,765987,seven six five nine eight seven,GenericPronunciation,VCTK_p239,test
985,nine eight faaev,888854,eight eight eight eight faaev fo,GenericPronunciation,p275,train
8999,eight nine nine nine,627434,six too seven fo three fo,GenericPronunciation,p258,train
54,five four,449655,four four nine six five five,GenericPronunciation,p254,train
858,eight faaev eight,666623,six six six six two three,GenericPronunciation,p267,train
4200,fo two zero zero,742219,seven fo two two one nine,GenericPronunciation,p305,train
95,nine faaev,226709,two two six seven zero nine,GenericPronunciation,p250,train
95,nine faaev,270479,two seven zero four seven nine,GenericPronunciation,p255,train
58,faaev eight,797891,seven nine seven eight nine one,GenericPronunciation,VCTK_p228,test
22,two two,555249,faaev faaev faaev two four nine,GenericPronunciation,p351,train
94,nine fo,902480,nine o two fo eight o,GenericPronunciation,p316,train
58,five eight,680280,six eight o too eight o,GenericPronunciation,VCTK_p245,test
5541,five five fo one,724366,seven two fo three six six,GenericPronunciation,p312,train
437,four three seven,284098,too eight four o nine eight,GenericPronunciation,VCTK_p225,test
562,faaev six two,197890,one nine seven eight nine o,GenericPronunciation,p269,train
8954,eight nine faaev fo,415042,fo one faaev o fo too,GenericPronunciation,VCTK_p227,test
2501,two five zero one,154607,one five fo six zero seven,GenericPronunciation,p284,train
0219,zero too one nine,509010,five zero nine zero one zero,GenericPronunciation,VCTK_p231,test
94,nine fo,460368,fo six zero three six eight,GenericPronunciation,p312,train
715,seven one five,461237,fo six one two three seven,GenericPronunciation,p248,train
4200,four too o o,702460,seven o too four six o,GenericPronunciation,VCTK_p227,test
0504,zero five zero fo,290163,too nine zero one six three,GenericPronunciation,VCTK_p226,test
086,o eight six,104237,one o fo too three seven,GenericPronunciation,p270,train
08,zero eight,326400,three too six fo zero zero,GenericPronunciation,p305,train
00,o o,078240,o seven eight two four o,GenericPronunciation,p347,train
52,faaev two,321260,three two one two six zero,GenericPronunciation,p277,train
36,three six,520075,faaev too zero zero seven faaev,GenericPronunciation,p347,train
5541,faaev faaev fo one,659923,six faaev nine nine two three,GenericPronunciation,p293,train
715,seven one faaev,934256,nine three fo two faaev six,GenericPronunciation,p312,train
9839,nine eight three nine,700029,seven o o o two nine,GenericPronunciation,p313,train
1674,one six seven four,736143,seven three six one four three,GenericPronunciation,p266,train
1755,one seven faaev faaev,809685,eight zero nine six eight faaev,GenericPronunciation,VCTK_p240,test
62,six two,184741,one eight four seven four one,GenericPronunciation,VCTK_p231,test
661,six six one,248252,too four eight too five too,GenericPronunciation,VCTK_p236,test
733,seven three three,083870,o eight three eight seven o,GenericPronunciation,p265,train
0504,zero faaev zero fo,901693,nine zero one six nine three,GenericPronunciation,p263,train
08,o eight,521469,five two one fo six nine,GenericPronunciation,p300,train
8120,eight one two o,936733,nine three six seven three three,GenericPronunciation,p252,train
22,too too,480079,four eight o o seven nine,GenericPronunciation,p295,train
08,o eight,367705,three six seven seven o five,GenericPronunciation,p254,train
22,two two,808282,eight zero eight two eight two,GenericPronunciation,p306,train
7665,seven six six five,336553,three three six five five three,GenericPronunciation,p310,train
6714,six seven one four,894994,eight nine four nine nine four,GenericPronunciation,p277,train
989,nine eight nine,780040,seven eight zero zero fo zero,GenericPronunciation,p264,train
2865,two eight six faaev,556957,faaev faaev six nine faaev seven,GenericPronunciation,p360,train
6364,six three six fo,635946,six three faaev nine fo six,GenericPronunciation,p280,train
52,faaev too,919670,nine one nine six seven o,GenericPronunciation,p261,train
7258,seven too five eight,546570,five fo six five seven o,GenericPronunciation,p266,train
95,nine five,946335,nine four six three three five,GenericPronunciation,p274,train
54,faaev four,742873,seven four too eight seven three,GenericPronunciation,p255,train
57,faaev seven,190333,one nine o three three three,GenericPronunciation,p286,train
87,eight seven,775912,seven seven faaev nine one too,GenericPronunciation,VCTK_p228,test
4151,fo one faaev one,868455,eight six eight fo faaev faaev,GenericPronunciation,p351,train
63,six three,668858,six six eight eight five eight,GenericPronunciation,p251,train
844,eight four four,338077,three three eight o seven seven,GenericPronunciation,VCTK_p243,test
94,nine four,692146,six nine too one four six,GenericPronunciation,p334,train
6714,six seven one fo,203642,two o three six fo two,GenericPronunciation,p262,train
26,two six,977864,nine seven seven eight six fo,GenericPronunciation,p267,train
