Prompt,Denormalized Prompt,Normalized Sequence,Denormalized Sequence,Pronunication Class,Speaker ID,split,prompt_path,seq_path,prompt_path_audio,seq_path_audio
gk,jee kay,388urb,three eight eight uu r bee,GenericPronunciation,p312,train,dump/alphanumeric_features/1063_prompt.pth,dump/alphanumeric_features/1063_seq.pth,dump/alphanumeric/1063_prompt.wav,dump/alphanumeric/1063_seq.wav
9q,nine q,avffzi,ae wee ef ef z eye,GenericPronunciation,p306,train,dump/alphanumeric_features/1064_prompt.pth,dump/alphanumeric_features/1064_seq.pth,dump/alphanumeric/1064_prompt.wav,dump/alphanumeric/1064_seq.wav
udb,you dee bee,i4cu08,eye four see you zero eight,GenericPronunciation,p268,train,dump/alphanumeric_features/1065_prompt.pth,dump/alphanumeric_features/1065_seq.pth,dump/alphanumeric/1065_prompt.wav,dump/alphanumeric/1065_seq.wav
uddy,you dee dee why,8iw4va,eight i double you fo v ae,GenericPronunciation,p297,train,dump/alphanumeric_features/1066_prompt.pth,dump/alphanumeric_features/1066_seq.pth,dump/alphanumeric/1066_prompt.wav,dump/alphanumeric/1066_seq.wav
sgct,s jee see ti,34tdde,three fo ti dee dee ee,GenericPronunciation,p263,train,dump/alphanumeric_features/1068_prompt.pth,dump/alphanumeric_features/1068_seq.pth,dump/alphanumeric/1068_prompt.wav,dump/alphanumeric/1068_seq.wav
97,nine seven,meh6no,am ee haych six en o,GenericPronunciation,p329,train,dump/alphanumeric_features/1069_prompt.pth,dump/alphanumeric_features/1069_seq.pth,dump/alphanumeric/1069_prompt.wav,dump/alphanumeric/1069_seq.wav
izo,eye zed o,4en0qi,four ee n zero q i,GenericPronunciation,p314,train,dump/alphanumeric_features/1070_prompt.pth,dump/alphanumeric_features/1070_seq.pth,dump/alphanumeric/1070_prompt.wav,dump/alphanumeric/1070_seq.wav
88,eight eight,7o5slf,seven oo faaev es l ef,GenericPronunciation,p292,train,dump/alphanumeric_features/1071_prompt.pth,dump/alphanumeric_features/1071_seq.pth,dump/alphanumeric/1071_prompt.wav,dump/alphanumeric/1071_seq.wav
izo,eye zee oh,bx2w74,bee x two double you seven fo,GenericPronunciation,p263,train,dump/alphanumeric_features/1073_prompt.pth,dump/alphanumeric_features/1073_seq.pth,dump/alphanumeric/1073_prompt.wav,dump/alphanumeric/1073_seq.wav
4542,four five four too,56ou4i,five six o you four eye,GenericPronunciation,p270,train,dump/alphanumeric_features/1075_prompt.pth,dump/alphanumeric_features/1075_seq.pth,dump/alphanumeric/1075_prompt.wav,dump/alphanumeric/1075_seq.wav
cf,see ef,is8htw,eye s eight aeych ti double you,GenericPronunciation,p250,train,dump/alphanumeric_features/1076_prompt.pth,dump/alphanumeric_features/1076_seq.pth,dump/alphanumeric/1076_prompt.wav,dump/alphanumeric/1076_seq.wav
278,too seven eight,q61pb9,q six one pee bee nine,GenericPronunciation,p283,train,dump/alphanumeric_features/1077_prompt.pth,dump/alphanumeric_features/1077_seq.pth,dump/alphanumeric/1077_prompt.wav,dump/alphanumeric/1077_seq.wav
spev,s pee ee wee,9i3cg4,nine i three see jee four,GenericPronunciation,p317,train,dump/alphanumeric_features/1080_prompt.pth,dump/alphanumeric_features/1080_seq.pth,dump/alphanumeric/1080_prompt.wav,dump/alphanumeric/1080_seq.wav
em,ee am,341pqm,three four one pee cuu am,GenericPronunciation,p262,train,dump/alphanumeric_features/1081_prompt.pth,dump/alphanumeric_features/1081_seq.pth,dump/alphanumeric/1081_prompt.wav,dump/alphanumeric/1081_seq.wav
980,nine eight zero,s0bduw,es zero bee dee you double you,GenericPronunciation,p311,train,dump/alphanumeric_features/1082_prompt.pth,dump/alphanumeric_features/1082_seq.pth,dump/alphanumeric/1082_prompt.wav,dump/alphanumeric/1082_seq.wav
0bua,zero bee you ae,jw4o7b,j double you fo o seven bee,GenericPronunciation,p292,train,dump/alphanumeric_features/1084_prompt.pth,dump/alphanumeric_features/1084_seq.pth,dump/alphanumeric/1084_prompt.wav,dump/alphanumeric/1084_seq.wav
97,nine seven,5lpy0y,five el pee wai zero wai,GenericPronunciation,p284,train,dump/alphanumeric_features/1086_prompt.pth,dump/alphanumeric_features/1086_seq.pth,dump/alphanumeric/1086_prompt.wav,dump/alphanumeric/1086_seq.wav
m6lx,am six l x,cdy7j2,see dee y seven jay too,GenericPronunciation,p255,train,dump/alphanumeric_features/1088_prompt.pth,dump/alphanumeric_features/1088_seq.pth,dump/alphanumeric/1088_prompt.wav,dump/alphanumeric/1088_seq.wav
4542,four five four two,rbni3t,arr bee n eye three ti,GenericPronunciation,p252,train,dump/alphanumeric_features/1090_prompt.pth,dump/alphanumeric_features/1090_seq.pth,dump/alphanumeric/1090_prompt.wav,dump/alphanumeric/1090_seq.wav
em,ee am,e2p2vi,ee too pee too wee eye,GenericPronunciation,p339,train,dump/alphanumeric_features/1091_prompt.pth,dump/alphanumeric_features/1091_seq.pth,dump/alphanumeric/1091_prompt.wav,dump/alphanumeric/1091_seq.wav
088,zero eight eight,3npebt,three en p ee bee ti,GenericPronunciation,p257,train,dump/alphanumeric_features/1093_prompt.pth,dump/alphanumeric_features/1093_seq.pth,dump/alphanumeric/1093_prompt.wav,dump/alphanumeric/1093_seq.wav
4811,fo eight one one,x0ds1n,x zero dee es one aen,GenericPronunciation,p273,train,dump/alphanumeric_features/1095_prompt.pth,dump/alphanumeric_features/1095_seq.pth,dump/alphanumeric/1095_prompt.wav,dump/alphanumeric/1095_seq.wav
db,dee bee,kby86d,k bee why eight six dee,GenericPronunciation,p339,train,dump/alphanumeric_features/1096_prompt.pth,dump/alphanumeric_features/1096_seq.pth,dump/alphanumeric/1096_prompt.wav,dump/alphanumeric/1096_seq.wav
731,seven three one,2o3bil,too oh three bee eye l,GenericPronunciation,p266,train,dump/alphanumeric_features/1097_prompt.pth,dump/alphanumeric_features/1097_seq.pth,dump/alphanumeric/1097_prompt.wav,dump/alphanumeric/1097_seq.wav
chzg,see h z jee,12knti,one two kay en tee eye,GenericPronunciation,p317,train,dump/alphanumeric_features/1099_prompt.pth,dump/alphanumeric_features/1099_seq.pth,dump/alphanumeric/1099_prompt.wav,dump/alphanumeric/1099_seq.wav
2h5,two haych five,xo2tbs,x o two ti bee s,GenericPronunciation,p253,train,dump/alphanumeric_features/1100_prompt.pth,dump/alphanumeric_features/1100_seq.pth,dump/alphanumeric/1100_prompt.wav,dump/alphanumeric/1100_seq.wav
pbp,pee bee p,3ei73m,three ee eye seven three m,GenericPronunciation,p308,train,dump/alphanumeric_features/1101_prompt.pth,dump/alphanumeric_features/1101_seq.pth,dump/alphanumeric/1101_prompt.wav,dump/alphanumeric/1101_seq.wav
875,eight seven faaev,b88hg9,bee eight eight haych jee nine,GenericPronunciation,p304,train,dump/alphanumeric_features/1102_prompt.pth,dump/alphanumeric_features/1102_seq.pth,dump/alphanumeric/1102_prompt.wav,dump/alphanumeric/1102_seq.wav
bm,bee am,2zhh5x,two zed haych haych faaev eks,GenericPronunciation,p339,train,dump/alphanumeric_features/1103_prompt.pth,dump/alphanumeric_features/1103_seq.pth,dump/alphanumeric/1103_prompt.wav,dump/alphanumeric/1103_seq.wav
spev,s pee ee wee,2jmhm0,two j am haych am zero,GenericPronunciation,p264,train,dump/alphanumeric_features/1105_prompt.pth,dump/alphanumeric_features/1105_seq.pth,dump/alphanumeric/1105_prompt.wav,dump/alphanumeric/1105_seq.wav
35,three five,a399xo,ae three nine nine eks o,GenericPronunciation,p286,train,dump/alphanumeric_features/1106_prompt.pth,dump/alphanumeric_features/1106_seq.pth,dump/alphanumeric/1106_prompt.wav,dump/alphanumeric/1106_seq.wav
qq,cuu cuu,md4wk1,m dee four double u k one,GenericPronunciation,p308,train,dump/alphanumeric_features/1107_prompt.pth,dump/alphanumeric_features/1107_seq.pth,dump/alphanumeric/1107_prompt.wav,dump/alphanumeric/1107_seq.wav
918,nine one eight,8khwhv,eight k h double you h wee,GenericPronunciation,p286,train,dump/alphanumeric_features/1108_prompt.pth,dump/alphanumeric_features/1108_seq.pth,dump/alphanumeric/1108_prompt.wav,dump/alphanumeric/1108_seq.wav
731,seven three one,g1c3xa,jee one see three x ae,GenericPronunciation,p257,train,dump/alphanumeric_features/1109_prompt.pth,dump/alphanumeric_features/1109_seq.pth,dump/alphanumeric/1109_prompt.wav,dump/alphanumeric/1109_seq.wav
sgct,s jee see tee,jplats,j pee el ae tee es,GenericPronunciation,p249,train,dump/alphanumeric_features/1110_prompt.pth,dump/alphanumeric_features/1110_seq.pth,dump/alphanumeric/1110_prompt.wav,dump/alphanumeric/1110_seq.wav
sgct,s jee see tee,6t3fbc,six ti three ef bee see,GenericPronunciation,p298,train,dump/alphanumeric_features/1112_prompt.pth,dump/alphanumeric_features/1112_seq.pth,dump/alphanumeric/1112_prompt.wav,dump/alphanumeric/1112_seq.wav
c0hz,see zero haych zee,argecq,ae arr jee ee see cuu,GenericPronunciation,p364,train,dump/alphanumeric_features/1115_prompt.pth,dump/alphanumeric_features/1115_seq.pth,dump/alphanumeric/1115_prompt.wav,dump/alphanumeric/1115_seq.wav
ndwr,n dee double you aar,r5ns7x,arr five n es seven x,GenericPronunciation,p251,train,dump/alphanumeric_features/1118_prompt.pth,dump/alphanumeric_features/1118_seq.pth,dump/alphanumeric/1118_prompt.wav,dump/alphanumeric/1118_seq.wav
spev,es pee ee v,efwmc3,ee ef double u em see three,GenericPronunciation,p333,train,dump/alphanumeric_features/1119_prompt.pth,dump/alphanumeric_features/1119_seq.pth,dump/alphanumeric/1119_prompt.wav,dump/alphanumeric/1119_seq.wav
gk,jee kay,pvt35p,p wee ti three five pee,GenericPronunciation,p376,train,dump/alphanumeric_features/1120_prompt.pth,dump/alphanumeric_features/1120_seq.pth,dump/alphanumeric/1120_prompt.wav,dump/alphanumeric/1120_seq.wav
kstf,kay es ti ef,tvddip,tee wee dee dee eye pee,GenericPronunciation,p306,train,dump/alphanumeric_features/1121_prompt.pth,dump/alphanumeric_features/1121_seq.pth,dump/alphanumeric/1121_prompt.wav,dump/alphanumeric/1121_seq.wav
5042,faaev zero fo too,3avq46,three ae wee q fo six,GenericPronunciation,p298,train,dump/alphanumeric_features/1122_prompt.pth,dump/alphanumeric_features/1122_seq.pth,dump/alphanumeric/1122_prompt.wav,dump/alphanumeric/1122_seq.wav
751,seven faaev one,l2q9yy,el too q nine wai wai,GenericPronunciation,p298,train,dump/alphanumeric_features/1123_prompt.pth,dump/alphanumeric_features/1123_seq.pth,dump/alphanumeric/1123_prompt.wav,dump/alphanumeric/1123_seq.wav
7626,seven six two six,sg248d,es jee two four eight dee,GenericPronunciation,p297,train,dump/alphanumeric_features/1124_prompt.pth,dump/alphanumeric_features/1124_seq.pth,dump/alphanumeric/1124_prompt.wav,dump/alphanumeric/1124_seq.wav
lndi,el en dee i,hisnwp,aeych i es en double you p,GenericPronunciation,p262,train,dump/alphanumeric_features/1125_prompt.pth,dump/alphanumeric_features/1125_seq.pth,dump/alphanumeric/1125_prompt.wav,dump/alphanumeric/1125_seq.wav
oqby,oh q bee why,x0qa2w,x zero q ae two double you,GenericPronunciation,p249,train,dump/alphanumeric_features/1126_prompt.pth,dump/alphanumeric_features/1126_seq.pth,dump/alphanumeric/1126_prompt.wav,dump/alphanumeric/1126_seq.wav
puuy,p uu uu wai,lz6ilf,l z six eye l ef,GenericPronunciation,p305,train,dump/alphanumeric_features/1128_prompt.pth,dump/alphanumeric_features/1128_seq.pth,dump/alphanumeric/1128_prompt.wav,dump/alphanumeric/1128_seq.wav
8020,eight zero two zero,tjxjft,tee jay x jay ef tee,GenericPronunciation,p307,train,dump/alphanumeric_features/1129_prompt.pth,dump/alphanumeric_features/1129_seq.pth,dump/alphanumeric/1129_prompt.wav,dump/alphanumeric/1129_seq.wav
0bua,zero bee you ae,njzdec,aen jay z dee ee see,GenericPronunciation,p271,train,dump/alphanumeric_features/1130_prompt.pth,dump/alphanumeric_features/1130_seq.pth,dump/alphanumeric/1130_prompt.wav,dump/alphanumeric/1130_seq.wav
9269,nine two six nine,9yf6k9,nine wai ef six k nine,GenericPronunciation,p257,train,dump/alphanumeric_features/1131_prompt.pth,dump/alphanumeric_features/1131_seq.pth,dump/alphanumeric/1131_prompt.wav,dump/alphanumeric/1131_seq.wav
db,dee bee,w3rkzi,double u three aar kay z i,GenericPronunciation,p261,train,dump/alphanumeric_features/1132_prompt.pth,dump/alphanumeric_features/1132_seq.pth,dump/alphanumeric/1132_prompt.wav,dump/alphanumeric/1132_seq.wav
udb,you dee bee,ahit90,ae h i tee nine zero,GenericPronunciation,p259,train,dump/alphanumeric_features/1133_prompt.pth,dump/alphanumeric_features/1133_seq.pth,dump/alphanumeric/1133_prompt.wav,dump/alphanumeric/1133_seq.wav
pbp,p bee p,qpsr6f,cuu p s r six ef,GenericPronunciation,p300,train,dump/alphanumeric_features/1134_prompt.pth,dump/alphanumeric_features/1134_seq.pth,dump/alphanumeric/1134_prompt.wav,dump/alphanumeric/1134_seq.wav
74,seven fo,s399f5,s three nine nine ef faaev,GenericPronunciation,p310,train,dump/alphanumeric_features/1135_prompt.pth,dump/alphanumeric_features/1135_seq.pth,dump/alphanumeric/1135_prompt.wav,dump/alphanumeric/1135_seq.wav
spev,s pee ee wee,hg7iyi,aeych jee seven eye y i,GenericPronunciation,p362,train,dump/alphanumeric_features/1137_prompt.pth,dump/alphanumeric_features/1137_seq.pth,dump/alphanumeric/1137_prompt.wav,dump/alphanumeric/1137_seq.wav
8718,eight seven one eight,vx9qst,wee x nine q es tee,GenericPronunciation,p294,train,dump/alphanumeric_features/1138_prompt.pth,dump/alphanumeric_features/1138_seq.pth,dump/alphanumeric/1138_prompt.wav,dump/alphanumeric/1138_seq.wav
092,zero nine two,z5i9bl,zed faaev i nine bee l,GenericPronunciation,p280,train,dump/alphanumeric_features/1139_prompt.pth,dump/alphanumeric_features/1139_seq.pth,dump/alphanumeric/1139_prompt.wav,dump/alphanumeric/1139_seq.wav
bai,bee ae eye,2s9scj,too s nine es see j,GenericPronunciation,p362,train,dump/alphanumeric_features/1140_prompt.pth,dump/alphanumeric_features/1140_seq.pth,dump/alphanumeric/1140_prompt.wav,dump/alphanumeric/1140_seq.wav
574,five seven four,3njmrr,three n jay em aar arr,GenericPronunciation,p297,train,dump/alphanumeric_features/1141_prompt.pth,dump/alphanumeric_features/1141_seq.pth,dump/alphanumeric/1141_prompt.wav,dump/alphanumeric/1141_seq.wav
er,ee aar,4tjsr5,four ti j es r five,GenericPronunciation,p274,train,dump/alphanumeric_features/1142_prompt.pth,dump/alphanumeric_features/1142_seq.pth,dump/alphanumeric/1142_prompt.wav,dump/alphanumeric/1142_seq.wav
uddy,you dee dee why,4fswam,fo ef s double u ae m,GenericPronunciation,p333,train,dump/alphanumeric_features/1143_prompt.pth,dump/alphanumeric_features/1143_seq.pth,dump/alphanumeric/1143_prompt.wav,dump/alphanumeric/1143_seq.wav
9q,nine q,j1t84c,jay one ti eight four see,GenericPronunciation,p264,train,dump/alphanumeric_features/1144_prompt.pth,dump/alphanumeric_features/1144_seq.pth,dump/alphanumeric/1144_prompt.wav,dump/alphanumeric/1144_seq.wav
278,two seven eight,csibt2,see s i bee tee two,GenericPronunciation,p363,train,dump/alphanumeric_features/1145_prompt.pth,dump/alphanumeric_features/1145_seq.pth,dump/alphanumeric/1145_prompt.wav,dump/alphanumeric/1145_seq.wav
505,five zero five,iz80gv,eye zed eight zero jee wee,GenericPronunciation,p333,train,dump/alphanumeric_features/1146_prompt.pth,dump/alphanumeric_features/1146_seq.pth,dump/alphanumeric/1146_prompt.wav,dump/alphanumeric/1146_seq.wav
0bua,zero bee uu ae,bdtq0l,bee dee ti q zero l,GenericPronunciation,p282,train,dump/alphanumeric_features/1147_prompt.pth,dump/alphanumeric_features/1147_seq.pth,dump/alphanumeric/1147_prompt.wav,dump/alphanumeric/1147_seq.wav
918,nine one eight,xcl2jb,eks see el too j bee,GenericPronunciation,p249,train,dump/alphanumeric_features/1149_prompt.pth,dump/alphanumeric_features/1149_seq.pth,dump/alphanumeric/1149_prompt.wav,dump/alphanumeric/1149_seq.wav
oqby,o q bee y,cxm5ra,see x m faaev aar ae,GenericPronunciation,p329,train,dump/alphanumeric_features/1155_prompt.pth,dump/alphanumeric_features/1155_seq.pth,dump/alphanumeric/1155_prompt.wav,dump/alphanumeric/1155_seq.wav
m7,em seven,k57lmi,k five seven l em i,GenericPronunciation,p261,train,dump/alphanumeric_features/1156_prompt.pth,dump/alphanumeric_features/1156_seq.pth,dump/alphanumeric/1156_prompt.wav,dump/alphanumeric/1156_seq.wav
j0,j zero,alv0wg,ae l wee zero double you jee,GenericPronunciation,p276,train,dump/alphanumeric_features/1158_prompt.pth,dump/alphanumeric_features/1158_seq.pth,dump/alphanumeric/1158_prompt.wav,dump/alphanumeric/1158_seq.wav
gf,jee ef,fcxze2,ef see eks zed ee two,GenericPronunciation,p257,train,dump/alphanumeric_features/1159_prompt.pth,dump/alphanumeric_features/1159_seq.pth,dump/alphanumeric/1159_prompt.wav,dump/alphanumeric/1159_seq.wav
izo,i zee oo,3neqe5,three en ee cuu ee faaev,GenericPronunciation,p251,train,dump/alphanumeric_features/1162_prompt.pth,dump/alphanumeric_features/1162_seq.pth,dump/alphanumeric/1162_prompt.wav,dump/alphanumeric/1162_seq.wav
mi,am i,9qoazd,nine q oo ae z dee,GenericPronunciation,p263,train,dump/alphanumeric_features/1163_prompt.pth,dump/alphanumeric_features/1163_seq.pth,dump/alphanumeric/1163_prompt.wav,dump/alphanumeric/1163_seq.wav
150,one five zero,vbckh4,wee bee see k haych four,GenericPronunciation,p292,train,dump/alphanumeric_features/1164_prompt.pth,dump/alphanumeric_features/1164_seq.pth,dump/alphanumeric/1164_prompt.wav,dump/alphanumeric/1164_seq.wav
4811,fo eight one one,z9ylkg,zed nine wai el k jee,GenericPronunciation,p361,train,dump/alphanumeric_features/1165_prompt.pth,dump/alphanumeric_features/1165_seq.pth,dump/alphanumeric/1165_prompt.wav,dump/alphanumeric/1165_seq.wav
iec,i ee see,lv3o9s,l v three o nine es,GenericPronunciation,p314,train,dump/alphanumeric_features/1166_prompt.pth,dump/alphanumeric_features/1166_seq.pth,dump/alphanumeric/1166_prompt.wav,dump/alphanumeric/1166_seq.wav
8718,eight seven one eight,1yemcv,one why ee em see v,GenericPronunciation,p252,train,dump/alphanumeric_features/1167_prompt.pth,dump/alphanumeric_features/1167_seq.pth,dump/alphanumeric/1167_prompt.wav,dump/alphanumeric/1167_seq.wav
848,eight four eight,zz3uah,zed zed three you ae haych,GenericPronunciation,p283,train,dump/alphanumeric_features/1169_prompt.pth,dump/alphanumeric_features/1169_seq.pth,dump/alphanumeric/1169_prompt.wav,dump/alphanumeric/1169_seq.wav
918,nine one eight,lvo58o,l v oo five eight oo,GenericPronunciation,p316,train,dump/alphanumeric_features/1170_prompt.pth,dump/alphanumeric_features/1170_seq.pth,dump/alphanumeric/1170_prompt.wav,dump/alphanumeric/1170_seq.wav
088,zero eight eight,5p5jfg,faaev pee faaev j ef jee,GenericPronunciation,p306,train,dump/alphanumeric_features/1173_prompt.pth,dump/alphanumeric_features/1173_seq.pth,dump/alphanumeric/1173_prompt.wav,dump/alphanumeric/1173_seq.wav
51,faaev one,2dfbdv,too dee ef bee dee v,GenericPronunciation,p323,train,dump/alphanumeric_features/1174_prompt.pth,dump/alphanumeric_features/1174_seq.pth,dump/alphanumeric/1174_prompt.wav,dump/alphanumeric/1174_seq.wav
kstf,kay s tee ef,k4vn9m,k fo v en nine m,GenericPronunciation,p310,train,dump/alphanumeric_features/1175_prompt.pth,dump/alphanumeric_features/1175_seq.pth,dump/alphanumeric/1175_prompt.wav,dump/alphanumeric/1175_seq.wav
97,nine seven,ap3z9e,ae pee three zee nine ee,GenericPronunciation,p310,train,dump/alphanumeric_features/1176_prompt.pth,dump/alphanumeric_features/1176_seq.pth,dump/alphanumeric/1176_prompt.wav,dump/alphanumeric/1176_seq.wav
9q,nine cuu,6qhhb7,six q aeych aeych bee seven,GenericPronunciation,p274,train,dump/alphanumeric_features/1177_prompt.pth,dump/alphanumeric_features/1177_seq.pth,dump/alphanumeric/1177_prompt.wav,dump/alphanumeric/1177_seq.wav
088,zero eight eight,mz6v4t,em zed six v fo tee,GenericPronunciation,p262,train,dump/alphanumeric_features/1179_prompt.pth,dump/alphanumeric_features/1179_seq.pth,dump/alphanumeric/1179_prompt.wav,dump/alphanumeric/1179_seq.wav
840,eight four zero,esod1x,ee s o dee one x,GenericPronunciation,p351,train,dump/alphanumeric_features/1180_prompt.pth,dump/alphanumeric_features/1180_seq.pth,dump/alphanumeric/1180_prompt.wav,dump/alphanumeric/1180_seq.wav
c0hz,see zero haych z,ja1i9o,jay ae one eye nine o,GenericPronunciation,p300,train,dump/alphanumeric_features/1181_prompt.pth,dump/alphanumeric_features/1181_seq.pth,dump/alphanumeric/1181_prompt.wav,dump/alphanumeric/1181_seq.wav
016,zero one six,9opkiq,nine oh p kay i q,GenericPronunciation,p334,train,dump/alphanumeric_features/1182_prompt.pth,dump/alphanumeric_features/1182_seq.pth,dump/alphanumeric/1182_prompt.wav,dump/alphanumeric/1182_seq.wav
dfo,dee ef o,yrtwtz,wai arr tee double you ti zed,GenericPronunciation,p307,train,dump/alphanumeric_features/1183_prompt.pth,dump/alphanumeric_features/1183_seq.pth,dump/alphanumeric/1183_prompt.wav,dump/alphanumeric/1183_seq.wav
gk,jee k,72qp41,seven too q p four one,GenericPronunciation,p335,train,dump/alphanumeric_features/1185_prompt.pth,dump/alphanumeric_features/1185_seq.pth,dump/alphanumeric/1185_prompt.wav,dump/alphanumeric/1185_seq.wav
xadw,x ae dee double u,g4fdug,jee four ef dee you jee,GenericPronunciation,p286,train,dump/alphanumeric_features/1186_prompt.pth,dump/alphanumeric_features/1186_seq.pth,dump/alphanumeric/1186_prompt.wav,dump/alphanumeric/1186_seq.wav
sgct,es jee see ti,orrob8,o aar r oh bee eight,GenericPronunciation,p364,train,dump/alphanumeric_features/1187_prompt.pth,dump/alphanumeric_features/1187_seq.pth,dump/alphanumeric/1187_prompt.wav,dump/alphanumeric/1187_seq.wav
zh,zed aeych,u0o4ch,you zero oh four see aeych,GenericPronunciation,p275,train,dump/alphanumeric_features/1188_prompt.pth,dump/alphanumeric_features/1188_seq.pth,dump/alphanumeric/1188_prompt.wav,dump/alphanumeric/1188_seq.wav
c0hz,see zero h zed,efjac9,ee ef jay ae see nine,GenericPronunciation,p257,train,dump/alphanumeric_features/1189_prompt.pth,dump/alphanumeric_features/1189_seq.pth,dump/alphanumeric/1189_prompt.wav,dump/alphanumeric/1189_seq.wav
384,three eight fo,cx69h9,see x six nine h nine,GenericPronunciation,p294,train,dump/alphanumeric_features/1190_prompt.pth,dump/alphanumeric_features/1190_seq.pth,dump/alphanumeric/1190_prompt.wav,dump/alphanumeric/1190_seq.wav
088,zero eight eight,sii8bo,s i i eight bee oo,GenericPronunciation,p254,train,dump/alphanumeric_features/1191_prompt.pth,dump/alphanumeric_features/1191_seq.pth,dump/alphanumeric/1191_prompt.wav,dump/alphanumeric/1191_seq.wav
88,eight eight,wn3ts8,double you en three ti es eight,GenericPronunciation,p298,train,dump/alphanumeric_features/1193_prompt.pth,dump/alphanumeric_features/1193_seq.pth,dump/alphanumeric/1193_prompt.wav,dump/alphanumeric/1193_seq.wav
51,five one,ieys4g,i ee why s four jee,GenericPronunciation,p257,train,dump/alphanumeric_features/1195_prompt.pth,dump/alphanumeric_features/1195_seq.pth,dump/alphanumeric/1195_prompt.wav,dump/alphanumeric/1195_seq.wav
spev,es pee ee wee,xm9n3e,eks am nine n three ee,GenericPronunciation,p313,train,dump/alphanumeric_features/1196_prompt.pth,dump/alphanumeric_features/1196_seq.pth,dump/alphanumeric/1196_prompt.wav,dump/alphanumeric/1196_seq.wav
549,five fo nine,ixvjjz,i eks wee j jay z,GenericPronunciation,p263,train,dump/alphanumeric_features/1197_prompt.pth,dump/alphanumeric_features/1197_seq.pth,dump/alphanumeric/1197_prompt.wav,dump/alphanumeric/1197_seq.wav
uddy,you dee dee y,7xwehj,seven eks double you ee haych jay,GenericPronunciation,p251,train,dump/alphanumeric_features/1198_prompt.pth,dump/alphanumeric_features/1198_seq.pth,dump/alphanumeric/1198_prompt.wav,dump/alphanumeric/1198_seq.wav
hwu,h double you uu,shi5ho,s h i faaev h oo,GenericPronunciation,p269,train,dump/alphanumeric_features/1200_prompt.pth,dump/alphanumeric_features/1200_seq.pth,dump/alphanumeric/1200_prompt.wav,dump/alphanumeric/1200_seq.wav
lef,l ee ef,bn7rs8,bee aen seven aar s eight,GenericPronunciation,p288,train,dump/alphanumeric_features/1201_prompt.pth,dump/alphanumeric_features/1201_seq.pth,dump/alphanumeric/1201_prompt.wav,dump/alphanumeric/1201_seq.wav
lbf,el bee ef,720l5k,seven two zero l five k,GenericPronunciation,p250,train,dump/alphanumeric_features/1202_prompt.pth,dump/alphanumeric_features/1202_seq.pth,dump/alphanumeric/1202_prompt.wav,dump/alphanumeric/1202_seq.wav
751,seven faaev one,ej3cnn,ee j three see aen aen,GenericPronunciation,p294,train,dump/alphanumeric_features/1204_prompt.pth,dump/alphanumeric_features/1204_seq.pth,dump/alphanumeric/1204_prompt.wav,dump/alphanumeric/1204_seq.wav
uu,uu uu,9boa97,nine bee oo ae nine seven,GenericPronunciation,p360,train,dump/alphanumeric_features/1206_prompt.pth,dump/alphanumeric_features/1206_seq.pth,dump/alphanumeric/1206_prompt.wav,dump/alphanumeric/1206_seq.wav
uu,you uu,jr325d,jay r three two faaev dee,GenericPronunciation,p253,train,dump/alphanumeric_features/1207_prompt.pth,dump/alphanumeric_features/1207_seq.pth,dump/alphanumeric/1207_prompt.wav,dump/alphanumeric/1207_seq.wav
spev,es pee ee v,teivvr,tee ee eye wee v arr,GenericPronunciation,p347,train,dump/alphanumeric_features/1208_prompt.pth,dump/alphanumeric_features/1208_seq.pth,dump/alphanumeric/1208_prompt.wav,dump/alphanumeric/1208_seq.wav
iec,i ee see,ny25om,en why two faaev oo em,GenericPronunciation,p265,train,dump/alphanumeric_features/1209_prompt.pth,dump/alphanumeric_features/1209_seq.pth,dump/alphanumeric/1209_prompt.wav,dump/alphanumeric/1209_seq.wav
chzg,see aeych z jee,3kwhkh,three k double you aeych k aeych,GenericPronunciation,p314,train,dump/alphanumeric_features/1211_prompt.pth,dump/alphanumeric_features/1211_seq.pth,dump/alphanumeric/1211_prompt.wav,dump/alphanumeric/1211_seq.wav
hi,aeych i,vco3qg,wee see oh three cuu jee,GenericPronunciation,p310,train,dump/alphanumeric_features/1212_prompt.pth,dump/alphanumeric_features/1212_seq.pth,dump/alphanumeric/1212_prompt.wav,dump/alphanumeric/1212_seq.wav
db,dee bee,bwqyzi,bee double u cuu why z i,GenericPronunciation,p249,train,dump/alphanumeric_features/1213_prompt.pth,dump/alphanumeric_features/1213_seq.pth,dump/alphanumeric/1213_prompt.wav,dump/alphanumeric/1213_seq.wav
nt,en tee,sdcs30,s dee see s three zero,GenericPronunciation,p316,train,dump/alphanumeric_features/1214_prompt.pth,dump/alphanumeric_features/1214_seq.pth,dump/alphanumeric/1214_prompt.wav,dump/alphanumeric/1214_seq.wav
uu,uu you,m2ceeh,em two see ee ee haych,GenericPronunciation,p364,train,dump/alphanumeric_features/1215_prompt.pth,dump/alphanumeric_features/1215_seq.pth,dump/alphanumeric/1215_prompt.wav,dump/alphanumeric/1215_seq.wav
sjy,es j wai,sa0zaz,es ae zero zee ae zee,GenericPronunciation,p341,train,dump/alphanumeric_features/1216_prompt.pth,dump/alphanumeric_features/1216_seq.pth,dump/alphanumeric/1216_prompt.wav,dump/alphanumeric/1216_seq.wav
